index,task_id,status,category,reason_cn,reason,folder,json
1,cvdp_copilot_16qam_mapper_0001,PASS,PASS,CVDP 判题通过。,,01_cvdp_copilot_16qam_mapper_0001,01_cvdp_copilot_16qam_mapper_0001/测试结果.json
2,cvdp_copilot_16qam_mapper_0006,PASS,PASS,CVDP 判题通过。,,02_cvdp_copilot_16qam_mapper_0006,02_cvdp_copilot_16qam_mapper_0006/测试结果.json
3,cvdp_copilot_64b66b_encoder_0001,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，说明生成 HDL 已进入判题但行为不符合参考测试。,CVDP cocotb reported failing tests despite zero process return code.,03_cvdp_copilot_64b66b_encoder_0001,03_cvdp_copilot_64b66b_encoder_0001/测试结果.json
4,cvdp_copilot_8x3_priority_encoder_0001,PASS,PASS,CVDP 判题通过。,,04_cvdp_copilot_8x3_priority_encoder_0001,04_cvdp_copilot_8x3_priority_encoder_0001/测试结果.json
5,cvdp_copilot_Carry_Lookahead_Adder_0001,PASS,PASS,CVDP 判题通过。,,05_cvdp_copilot_Carry_Lookahead_Adder_0001,05_cvdp_copilot_Carry_Lookahead_Adder_0001/测试结果.json
6,cvdp_copilot_GFCM_0001,PASS,PASS,CVDP 判题通过。,,06_cvdp_copilot_GFCM_0001,06_cvdp_copilot_GFCM_0001/测试结果.json
7,cvdp_copilot_apb_dsp_unit_0001,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，说明生成 HDL 已进入判题但行为不符合参考测试。,CVDP cocotb reported failing tests despite zero process return code.,07_cvdp_copilot_apb_dsp_unit_0001,07_cvdp_copilot_apb_dsp_unit_0001/测试结果.json
8,cvdp_copilot_apb_gpio_0001,MODEL_OR_MYGO_ERROR,MODEL_OR_MYGO_ERROR,DeepSeek 修正后仍未通过 MyGo 编译/IR/Verilog 生成链路。,"MyGo compile failed after DeepSeek revision attempts: MyGo verilog FAIL. /home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:141:37: error: use of undeclared SSA value name
    %read_pready136 = sv.read_inout %const_51 : !hw.inout<i1>
                                    ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:142:38: error: use of undeclared SSA value name
    %read_pslverr137 = sv.read_inout %const_52 : !hw.inout<i1>
                                     ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:143:39: error: use of undeclared SSA value name
    %read_gpio_out138 = sv.read_inout %const_39 : !hw.inout<i8>
                                      ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:144:42: error: use of undeclared SSA value name
    %read_gpio_enable139 = sv.read_inout %const_42 : !hw.inout<i8>
                                         ^
backend: circt-opt --pass-pipeline failed: exit status 1",08_cvdp_copilot_apb_gpio_0001,08_cvdp_copilot_apb_gpio_0001/测试结果.json
9,cvdp_copilot_apb_history_shift_register_0001,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，说明生成 HDL 已进入判题但行为不符合参考测试。,CVDP cocotb reported failing tests despite zero process return code.,09_cvdp_copilot_apb_history_shift_register_0001,09_cvdp_copilot_apb_history_shift_register_0001/测试结果.json
10,cvdp_copilot_axi_register_0001,PASS,PASS,CVDP 判题通过。,,10_cvdp_copilot_axi_register_0001,10_cvdp_copilot_axi_register_0001/测试结果.json
11,cvdp_copilot_axi_stream_upscale_0001,PASS,PASS,CVDP 判题通过。,,11_cvdp_copilot_axi_stream_upscale_0001,11_cvdp_copilot_axi_stream_upscale_0001/测试结果.json
12,cvdp_copilot_axil_precision_counter_0001,PASS,PASS,CVDP 判题通过。,,12_cvdp_copilot_axil_precision_counter_0001,12_cvdp_copilot_axil_precision_counter_0001/测试结果.json
13,cvdp_copilot_axis_joiner_0001,PASS,PASS,CVDP 判题通过。,,13_cvdp_copilot_axis_joiner_0001,13_cvdp_copilot_axis_joiner_0001/测试结果.json
14,cvdp_copilot_barrel_shifter_0001,PASS,PASS,CVDP 判题通过。,,14_cvdp_copilot_barrel_shifter_0001,14_cvdp_copilot_barrel_shifter_0001/测试结果.json
15,cvdp_copilot_bcd_counter_0001,PASS,PASS,CVDP 判题通过。,,15_cvdp_copilot_bcd_counter_0001,15_cvdp_copilot_bcd_counter_0001/测试结果.json
