index,task_id,difficulty,direct_status,direct_failure_type,mygo_status,mygo_category,transition,reason
1,cvdp_copilot_16qam_mapper_0001,medium,FAIL,仿真错误/测试失败,PASS,通过,improved_by_mygo,
2,cvdp_copilot_16qam_mapper_0006,medium,FAIL,超时,PASS,通过,improved_by_mygo,
3,cvdp_copilot_64b66b_encoder_0001,easy,PASS,,FAIL,CVDP 功能判错,regressed_by_mygo,CVDP cocotb reported failing tests despite zero process return code.
4,cvdp_copilot_8x3_priority_encoder_0001,easy,PASS,,PASS,通过,both_pass,
5,cvdp_copilot_Carry_Lookahead_Adder_0001,easy,PASS,,PASS,通过,both_pass,
6,cvdp_copilot_GFCM_0001,easy,FAIL,超时,PASS,通过,improved_by_mygo,
7,cvdp_copilot_apb_dsp_unit_0001,medium,FAIL,超时,FAIL,CVDP 功能判错,both_failed,CVDP cocotb reported failing tests despite zero process return code.
8,cvdp_copilot_apb_gpio_0001,medium,FAIL,功能断言失败,MODEL_OR_MYGO_ERROR,MyGo/CIRCT Verilog 生成失败,both_failed,"MyGo compile failed after DeepSeek revision attempts: MyGo verilog FAIL. /home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:141:37: error: use of undeclared SSA value name
    %read_pready136 = sv.read_inout %const_51 : !hw.inout<i1>
                                    ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:142:38: error: use of undeclared SSA value name
    %read_pslverr137 = sv.read_inout %const_52 : !hw.inout<i1>
                                     ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:143:39: error: use of undeclared SSA value name
    %read_gpio_out138 = sv.read_inout %const_39 : !hw.inout<i8>
                                      ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:144:42: error: use of undeclared SSA value name
    %read_gpio_enable139 = sv.read_inout %const_42 : !hw.inout<i8>
                                         ^
backend: circt-opt --pass-pipeline failed: exit status 1"
9,cvdp_copilot_apb_history_shift_register_0001,medium,FAIL,功能断言失败,FAIL,CVDP 功能判错,both_failed,CVDP cocotb reported failing tests despite zero process return code.
10,cvdp_copilot_axi_register_0001,medium,FAIL,超时,PASS,通过,improved_by_mygo,
11,cvdp_copilot_axi_stream_upscale_0001,easy,FAIL,功能断言失败,PASS,通过,improved_by_mygo,
